CBBTCUSD
DATE;Bitcoin;Ethereum;GoTrend(E);GoTrend(B);S&P500;Price(Gold);Inflation;MoneySupply;VIX
2019-03-25;3978.5314285714285714;141.514099;9;12;2822.1500000000000000;1311.8200000000000000;1.9300000000000000;14556.0;14.7820000000000000
2019-04-01;4053.7557142857142857;174.531647;8;10;2828.1720000000000000;1304.6900000000000000;1.8620000000000000;14676.4;14.2740000000000000
2019-04-08;5050.6571428571428571;167.838516;7;9;2881.7080000000000000;1291.3300000000000000;1.9040000000000000;14724.4;13.3360000000000000
2019-04-15;5126.5371428571428571;170.046524;7;10;2893.5440000000000000;1298.8400000000000000;1.9360000000000000;14746.8;12.9860000000000000
2019-04-22;5286.5542857142857143;157.295074;7;9;2905.1275000000000000;1278.7833333333333333;1.9500000000000000;14613.6;12.3225000000000000
2019-04-29;5248.9742857142857143;163.450699;8;12;2934.0020000000000000;1277.7500000000000000;1.9640000000000000;14498.8;12.9020000000000000
2019-05-06;5544.7171428571428571;187.325317;15;19;2933.0380000000000000;1277.1125000000000000;1.9180000000000000;14576.1;14.1300000000000000
2019-05-13;6602.5328571428571429;261.292206;9;14;2865.4920000000000000;1284.3000000000000000;1.8640000000000000;14573.5;18.8820000000000000
2019-05-20;7842.6900000000000000;267.069641;10;15;2852.2900000000000000;1290.6200000000000000;1.8300000000000000;14597.7;16.4120000000000000
2019-05-27;8152.2471428571428571;270.225525;8;12;2842.2325000000000000;1276.8625000000000000;1.7775000000000000;14587.6;15.6175000000000000
